,repeat,repeat_last,drift,gnn_config1,gnn_config2,gnn_config3,gnn_config4,gnn_config5,best_model
3481,98.89,93.5,159.06,72.2514,68.7552,69.2129,66.2363,67.3905,gnn_config4
3572,24.05,21.23,37.17,22.6252,16.6156,17.3384,17.0058,16.5856,gnn_config5
3576,39.8,30.43,51.52,22.0513,23.6743,24.4894,24.2014,20.091,gnn_config5
3628,29.74,24.74,42.69,61.7493,35.6325,62.254,39.4775,47.0127,repeat_last
3684,54.88,43.24,73.92,117.7498,120.1103,114.2413,123.0287,124.5759,repeat_last
3685,20.51,13.98,23.33,13.2084,11.8041,11.5954,12.2487,16.0787,gnn_config3
3686,43.63,34.5,57.82,28.3692,24.6087,25.4061,24.5067,24.243,gnn_config5
5044,7.49,5.78,9.71,4.3022,2.5905,2.6891,1.7988,2.3872,gnn_config4
5045,14.9,9.68,15.44,9.6252,9.007,8.5924,9.5175,10.1026,gnn_config3
5046,22.62,19.62,35.17,17.3508,16.5318,16.6381,17.347,16.9725,gnn_config2
5047,18.16,12.89,22.04,13.0933,12.2065,11.1406,12.5579,12.0864,gnn_config3
5048,10.99,7.97,13.73,7.0199,4.09,4.7022,4.3452,4.4223,gnn_config2
5049,13.38,9.68,16.85,6.4276,4.0371,4.5136,3.9743,3.9896,gnn_config4
5050,7.23,4.8,7.38,5.6549,3.9026,3.9581,3.8606,4.0594,gnn_config4
5051,148.32,136.82,239.37,63.4792,63.6546,62.0983,60.507,56.9331,gnn_config5
5052,19.44,14.12,23.07,10.488,7.3238,7.6684,7.2685,8.7882,gnn_config4
5054,12.17,8.56,14.07,4.8429,3.2176,3.4413,3.4049,3.3302,gnn_config2
5055,45.18,30.15,50.17,27.529,22.6238,21.8108,23.1641,24.3768,gnn_config3
5061,19.94,16.55,28.57,15.1036,12.2721,12.9932,11.8282,11.3781,gnn_config5
5099,498.79,416.22,688.63,305.5706,314.8946,309.4999,304.3507,262.0828,gnn_config5
5100,564.11,467.22,781.23,960.7003,991.8127,1019.1239,1236.8902,1204.3221,repeat_last
5101,44.79,29.36,51.15,42.0378,34.8744,42.0904,39.4302,32.9556,repeat_last
5102,40.76,28.6,23.82,9.2048,4.498,8.6413,6.4219,17.0574,gnn_config2
5105,22.82,15.57,26.46,16.5188,13.5058,13.5256,13.4674,17.2453,gnn_config4
5108,43.5,38.32,66.57,28.1105,25.363,25.9341,24.9641,23.2568,gnn_config5
5109,7.98,6.85,11.71,7.7544,5.5283,6.7864,5.2526,6.9823,gnn_config4
5114,15.16,11.94,19.72,9.661,6.6198,12.6164,8.3795,10.8786,gnn_config2
5118,91.09,71.77,121.57,558.8324,63.4903,126.4672,70.2646,208.2491,gnn_config2
5119,1.78,1.66,2.72,7.3054,2.242,6.4555,4.0149,18.6175,repeat_last
5120,9.21,8.67,15.09,12.2847,9.6386,10.1324,8.746,9.9217,repeat_last
5121,30.31,24.16,41.43,29.8349,25.7159,24.4349,24.2993,25.8715,repeat_last
5122,16.71,14.23,24.53,17.7271,15.1338,14.7887,14.2994,14.8863,repeat_last
5125,212.83,181.38,301.38,189.9228,165.2585,193.3061,164.2136,159.9015,gnn_config5
5126,293.14,217.27,335.59,181.4638,202.1564,208.601,194.9459,184.2689,gnn_config1
5245,185.12,152.77,271.52,80.0609,49.1548,47.1692,51.2349,51.4854,gnn_config3
9847,65.44,58.76,99.99,33.8807,29.7669,29.9554,27.9831,28.4075,gnn_config4
10025,14.41,12.76,22.19,12.2209,9.001,9.8652,9.0687,9.6508,gnn_config2
