,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,93.94,94.13,76.38,96.07,96.38,97.64,99.95,93.5,7.25
3572,22.2,16.76,8.39,20.66,29.24,25.52,25.88,21.23,6.44
3576,30.3,18.05,7.99,48.85,48.11,,29.29,30.43,14.77
3628,20.24,20.77,11.64,28.93,32.56,26.93,32.08,24.74,7.02
3684,11.28,6.28,151.21,101.0,10.12,10.26,12.53,43.24,54.13
3685,15.71,11.73,8.59,14.27,14.95,17.74,14.87,13.98,2.75
3686,39.1,26.29,12.11,43.64,41.83,42.07,36.44,34.5,10.61
5044,3.9,9.29,2.11,2.97,7.88,10.54,3.77,5.78,3.12
5045,7.91,5.54,4.13,8.62,17.03,14.11,10.44,9.68,4.25
5046,14.1,12.87,12.49,22.04,30.27,19.81,25.77,19.62,6.37
5047,11.21,7.95,4.11,14.77,21.04,16.77,14.39,12.89,5.23
5048,8.64,5.34,2.66,9.57,11.66,9.6,8.34,7.97,2.79
5049,5.99,4.56,2.58,10.93,23.72,9.27,10.73,9.68,6.44
5050,4.32,3.27,2.78,4.95,8.12,5.03,5.09,4.8,1.59
5051,297.41,180.88,83.27,309.79,41.94,16.31,28.14,136.82,117.02
5052,13.51,9.98,6.24,14.95,20.17,14.16,19.84,14.12,4.62
5054,6.6,4.53,3.0,7.19,13.06,11.33,14.19,8.56,4.01
5055,34.76,19.84,10.58,34.25,38.59,40.14,32.92,30.15,10.04
5061,17.2,12.97,8.48,18.1,19.45,18.02,21.67,16.55,4.1
5099,338.03,383.46,235.75,454.65,620.26,,465.18,416.22,119.21
5100,707.11,445.07,549.08,549.68,509.78,,42.59,467.22,205.61
5101,26.44,13.82,6.51,55.47,34.8,,39.11,29.36,16.22
5102,4.14,7.04,3.14,4.06,3.94,173.5,4.39,28.6,59.17
5105,17.22,12.66,6.25,18.03,19.26,17.85,17.68,15.57,4.27
5108,40.18,34.24,20.31,,49.18,42.94,43.08,38.32,9.18
5109,6.92,5.15,3.37,7.74,7.59,9.17,8.03,6.85,1.82
5114,8.71,8.16,5.45,13.74,25.58,,10.02,11.94,6.58
5118,69.95,50.16,18.85,101.09,97.66,71.19,93.47,71.77,27.44
5119,1.64,1.51,1.27,1.54,2.56,1.51,1.59,1.66,0.38
5120,13.3,11.25,5.54,8.09,8.48,6.31,7.7,8.67,2.53
5121,25.76,18.85,10.57,27.25,31.61,24.97,30.07,24.16,6.72
5122,16.52,14.06,8.3,14.54,16.19,16.07,13.92,14.23,2.61
5125,177.2,147.08,136.44,226.58,189.22,199.06,194.09,181.38,28.77
5126,210.04,189.9,188.0,233.58,250.63,224.02,224.72,217.27,21.17
5245,279.31,25.44,4.95,169.71,269.52,181.88,138.56,152.77,99.31
9847,56.58,45.24,39.01,68.7,69.16,66.35,66.29,58.76,11.33
10025,12.3,9.11,5.53,17.04,16.44,13.8,15.13,12.76,3.86
