,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,87.28,88.69,72.34,87.3,88.94,91.48,93.79,87.12,6.41
3572,20.12,15.11,7.97,17.97,24.62,22.75,23.53,18.87,5.41
3576,25.42,15.07,7.2,37.54,37.39,,23.74,24.39,11.0
3628,17.03,17.32,10.66,24.28,30.79,22.4,25.7,21.17,6.17
3684,9.52,5.41,112.99,79.5,8.28,8.34,11.51,33.65,40.62
3685,11.57,9.22,7.16,10.75,10.91,13.52,11.31,10.63,1.84
3686,32.93,22.45,10.31,35.59,35.62,34.51,30.06,28.78,8.67
5044,3.07,7.47,1.76,2.28,6.16,9.13,2.9,4.68,2.67
5045,5.4,4.07,3.1,5.75,11.48,10.64,7.04,6.78,2.95
5046,12.19,11.68,10.77,19.2,27.27,17.21,22.15,17.21,5.69
5047,8.56,6.26,3.24,10.81,15.96,12.63,10.73,9.74,3.87
5048,6.71,4.15,2.17,6.93,9.72,7.26,6.19,6.16,2.23
5049,4.69,3.54,2.12,8.25,19.31,6.9,7.78,7.51,5.25
5050,3.06,2.4,2.16,3.35,6.18,3.58,3.5,3.46,1.22
5051,271.34,164.69,76.38,298.47,45.39,12.2,18.91,126.77,110.68
5052,10.5,8.07,5.32,11.38,15.14,10.95,15.36,10.96,3.33
5054,4.84,3.35,2.39,5.03,9.98,8.71,9.26,6.22,2.82
5055,24.39,15.67,9.18,24.73,25.94,28.55,23.58,21.72,6.3
5061,14.56,11.43,7.4,15.41,16.81,15.4,17.66,14.1,3.29
5099,285.85,319.86,213.4,390.92,551.16,,370.82,355.34,104.95
5100,611.64,386.06,478.82,490.68,461.28,,36.95,410.9,179.94
5101,22.31,17.21,5.31,57.94,26.79,150.58,30.54,44.38,45.85
5102,3.81,6.13,2.93,3.62,3.7,325.44,5.09,50.1,112.41
5105,13.35,9.6,4.89,13.57,13.88,13.38,13.04,11.67,3.08
5108,35.9,32.17,19.24,165.68,42.88,38.87,38.37,53.3,46.41
5109,5.97,4.69,3.22,6.95,6.73,7.92,6.78,6.04,1.47
5114,7.55,6.8,4.73,11.38,20.55,,8.82,9.97,5.14
5118,58.75,43.51,16.91,81.6,76.76,58.31,78.13,59.14,21.39
5119,1.53,1.41,1.22,1.43,2.26,1.43,1.45,1.53,0.31
5120,12.4,10.31,5.47,7.78,7.23,5.87,7.0,8.01,2.31
5121,21.06,15.68,9.58,23.29,25.6,20.7,25.18,20.16,5.31
5122,14.87,12.79,7.79,12.89,14.24,14.0,12.0,12.65,2.18
5125,160.77,135.94,128.74,200.45,170.03,178.34,175.69,164.28,23.14
5126,176.16,161.03,167.22,185.5,198.96,185.57,188.14,180.37,12.09
5245,231.58,24.21,4.43,144.07,218.17,162.51,104.85,127.12,81.84
9847,53.62,42.48,37.84,64.13,65.6,62.53,61.83,55.43,10.36
10025,10.75,8.06,4.55,14.52,14.61,12.4,12.91,11.12,3.41
