,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,5.8871,5.9405,4.9498,5.691,5.8999,6.0824,6.0487,5.7856,0.361
3572,2.662,2.1382,1.6488,2.5341,2.7523,2.7341,2.681,2.4501,0.3811
3576,3.1979,2.5373,1.8331,3.9018,3.8606,,3.1526,3.0806,0.7249
3628,2.5912,2.5057,1.8813,3.0381,3.308,2.9208,3.0878,2.7618,0.4434
3684,1.758,1.5709,4.8778,4.2104,1.8532,1.8886,1.8912,2.5786,1.26
3685,2.5079,2.2296,2.0116,2.3992,2.4099,2.4668,2.4658,2.3558,0.1633
3686,4.0011,3.2287,2.1928,4.076,4.1251,3.874,3.6652,3.5947,0.6392
5044,1.2037,1.3093,0.9838,1.1246,1.4081,1.6355,1.2036,1.2669,0.195
5045,1.6595,1.5149,1.3001,1.7428,1.9694,1.9237,1.8012,1.7017,0.2173
5046,2.1902,2.0298,1.7165,2.5812,3.1822,2.6001,2.7779,2.4397,0.4574
5047,2.0216,1.7149,1.305,2.1249,2.2186,2.0937,2.0668,1.9351,0.2957
5048,1.7595,1.3687,1.1089,1.7057,1.9026,1.7781,1.641,1.6092,0.2551
5049,1.5062,1.2862,1.0807,1.6522,1.9027,1.5775,1.6705,1.5251,0.25
5050,1.3163,1.182,1.1184,1.3774,1.4763,1.3791,1.3624,1.316,0.115
5051,7.2313,5.2105,2.9013,7.2413,2.5731,2.1154,2.1281,4.2001,2.1524
5052,2.3128,2.0177,1.6991,2.3514,2.4848,2.2817,2.4084,2.2223,0.2528
5054,1.5687,1.318,1.1492,1.6119,1.8383,1.7108,1.6568,1.5505,0.2201
5055,3.4728,2.8003,2.1971,3.4986,3.5546,3.5684,3.4041,3.2137,0.4827
5061,2.6657,2.3495,1.8115,2.741,2.8268,2.631,2.8647,2.5557,0.3417
5099,9.0192,9.7676,6.8298,11.7616,14.6183,,11.2489,10.5409,2.4256
5100,18.9775,13.589,17.0838,17.4285,16.3012,,3.4449,14.4708,5.1895
5101,2.8851,2.3908,1.6487,4.8229,3.034,6.75,3.2444,3.5394,1.5865
5102,1.392,1.4409,1.2124,1.3146,1.3679,14.0938,1.4688,3.1843,4.4544
5105,2.4505,2.2385,1.6199,2.5677,2.5884,2.4883,2.5095,2.3518,0.3172
5108,3.1933,2.973,2.2672,7.575,3.6867,3.2997,3.2805,3.7536,1.6111
5109,1.7557,1.5655,1.3126,1.8624,1.8231,1.8778,1.8354,1.719,0.1928
5114,1.9803,1.8497,1.5955,2.3147,2.6327,,2.0677,2.0734,0.3312
5118,5.0648,4.1448,2.7116,5.9966,5.6267,5.0422,5.3553,4.8489,1.023
5119,0.9242,0.8756,0.8261,0.8872,0.9672,0.8932,0.8819,0.8936,0.0404
5120,1.6696,1.5625,1.1957,1.5108,1.4505,1.4019,1.5368,1.4754,0.1387
5121,2.9722,2.4614,1.8804,3.0295,3.047,2.895,3.0765,2.766,0.4108
5122,2.5552,2.3488,1.8072,2.4066,2.4384,2.5303,2.3257,2.3446,0.2332
5125,9.426,8.6764,8.3218,10.4783,9.8437,9.9331,9.8895,9.5098,0.7057
5126,9.9849,9.655,9.7561,10.2921,10.5472,10.2599,10.3477,10.1204,0.3048
5245,7.7009,2.5395,1.4447,5.6211,7.097,6.0931,4.63,5.018,2.1415
9847,5.0877,4.6923,4.4107,5.6029,5.6471,5.4353,5.4718,5.1925,0.4447
10025,2.0031,1.7883,1.3498,2.397,2.3023,2.1171,2.2278,2.0265,0.3332
