,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,6.2596,6.2575,5.1929,6.1384,6.2601,6.4188,6.3574,6.1264,0.3897
3572,2.8842,2.3308,1.7104,2.8076,3.0358,2.9679,2.8724,2.6585,0.4413
3576,3.5728,2.8204,1.9714,4.5539,4.4365,,3.5586,3.4856,0.8939
3628,2.9323,2.8224,1.9802,3.4218,3.609,3.3068,3.5942,3.0952,0.5357
3684,1.9634,1.7418,5.9494,5.0047,2.1028,2.1575,2.0904,3.0014,1.5909
3685,2.9348,2.5206,2.2233,2.7742,2.8117,2.8734,2.8428,2.7115,0.2336
3686,4.5061,3.564,2.3843,4.6418,4.5863,4.4167,4.1524,4.0359,0.756
5044,1.3773,1.4823,1.0746,1.2841,1.626,1.8286,1.3821,1.4364,0.2244
5045,2.0222,1.768,1.5055,2.1271,2.3917,2.3221,2.2254,2.0517,0.2938
5046,2.4499,2.1813,1.8534,2.8741,3.4665,2.8927,3.0818,2.6857,0.5138
5047,2.3724,1.9689,1.4908,2.5562,2.5871,2.512,2.4631,2.2786,0.3753
5048,2.0464,1.5809,1.2333,2.055,2.1785,2.1071,1.9515,1.879,0.3189
5049,1.7292,1.4912,1.2059,1.9709,2.247,1.8835,1.993,1.7887,0.322
5050,1.5616,1.3836,1.2832,1.6651,1.761,1.6482,1.6466,1.5642,0.1578
5051,8.0606,5.7377,3.1646,7.7384,2.8993,2.5608,2.6414,4.6861,2.2683
5052,2.6488,2.2709,1.8582,2.7509,2.8738,2.6579,2.797,2.5511,0.3347
5054,1.8539,1.5376,1.3008,1.954,2.1957,2.0775,2.0055,1.8464,0.2941
5055,4.1078,3.1744,2.3854,4.1227,4.2966,4.2721,4.049,3.7726,0.6674
5061,2.965,2.5367,1.9688,3.0168,3.082,2.9006,3.242,2.816,0.3996
5099,9.9927,10.9127,7.2996,12.8127,15.8911,,12.929,11.6396,2.683
5100,20.5899,14.692,18.3507,18.4716,17.2088,,3.8854,15.5331,5.4974
5101,3.2784,2.5715,1.8416,5.1276,3.4816,,3.7597,3.3434,1.0191
5102,1.4617,1.5102,1.2578,1.3942,1.4225,11.25,1.4805,2.8253,3.4402
5105,2.8418,2.5947,1.8459,2.9954,3.0843,2.9364,2.9713,2.7528,0.3974
5108,3.5371,3.1743,2.4044,,4.1144,3.5956,3.6016,3.4046,0.5244
5109,1.9166,1.6563,1.3465,1.9975,1.976,2.0531,2.0199,1.8523,0.24
5114,2.1602,2.0445,1.7255,2.6059,2.9193,,2.2411,2.2828,0.3859
5118,5.6735,4.5543,2.9269,6.8162,6.4634,5.6865,6.0698,5.4558,1.2277
5119,0.9637,0.904,0.8398,0.9252,0.9961,0.9221,0.9184,0.9242,0.0452
5120,1.743,1.669,1.2197,1.559,1.5165,1.4592,1.6166,1.5404,0.1576
5121,3.368,2.7563,2.032,3.3901,3.4214,3.2963,3.4901,3.1077,0.494
5122,2.7441,2.5158,1.8761,2.6049,2.6398,2.7473,2.5393,2.5239,0.2773
5125,10.0002,9.1068,8.6405,11.2244,10.4781,10.6206,10.4476,10.074,0.8384
5126,11.0367,10.5794,10.4811,11.6107,11.835,11.2819,11.3374,11.166,0.4657
5245,8.7058,2.6701,1.5347,6.2493,8.2039,6.7635,5.4316,5.6513,2.4878
9847,5.3028,4.9123,4.5251,5.884,5.8925,5.6803,5.7393,5.4195,0.49
10025,2.1794,1.9316,1.4663,2.6526,2.4967,2.2927,2.4579,2.211,0.3738
