,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,6.6508,6.7068,5.4807,6.8781,6.7917,6.9887,6.8484,6.6207,0.4767
3572,3.25,2.6381,1.8898,3.2636,3.469,3.3978,3.2692,3.0254,0.5267
3576,4.3012,3.4006,2.3438,5.8266,5.2054,,4.3696,4.2412,1.138
3628,3.3558,3.2429,2.1118,3.9591,3.9923,3.8586,4.4884,3.5727,0.7107
3684,2.2828,1.9896,7.6171,6.1762,2.4866,2.6067,2.4498,3.6584,2.0917
3685,3.6375,3.0967,2.6201,3.4803,3.5551,3.6004,3.5918,3.3688,0.35
3686,5.2626,4.2207,2.7765,5.6236,5.4298,5.3635,5.0957,4.8246,0.935
5044,1.6871,1.8265,1.2422,1.5358,1.9016,2.1247,1.6129,1.7044,0.2622
5045,2.6836,2.3415,1.8988,2.8765,3.0574,3.0446,2.9812,2.6977,0.4013
5046,2.8434,2.4246,2.1667,3.1841,3.8368,3.2566,3.4674,3.0257,0.543
5047,3.0239,2.4426,1.821,3.2328,3.1187,3.0705,3.0963,2.8294,0.4751
5048,2.5538,1.8466,1.4519,2.4712,2.5113,2.6437,2.459,2.2768,0.4145
5049,2.0991,1.8606,1.4414,2.4665,2.6579,2.3802,2.6024,2.2154,0.4096
5050,2.0319,1.7653,1.5959,2.1675,2.2091,2.1369,2.134,2.0058,0.2163
5051,9.4273,6.7596,3.6756,8.7687,3.3355,3.3459,3.5043,5.5453,2.5162
5052,3.2885,2.7565,2.1389,3.3289,3.4916,3.3522,3.5026,3.1227,0.4637
5054,2.2987,1.8983,1.59,2.4397,2.5809,2.5744,2.6178,2.2857,0.3662
5055,4.8678,3.7727,2.7072,5.0491,5.092,5.3814,5.0525,4.5604,0.8934
5061,3.362,2.8763,2.242,3.4875,3.4659,3.3507,3.8027,3.2267,0.4756
5099,11.369,12.1976,8.1761,13.7902,18.102,,15.0073,13.107,3.0873
5100,22.3488,16.8354,20.6794,20.4265,18.7014,,4.9576,17.3249,5.7908
5101,4.0987,3.2971,2.2275,6.0532,4.1915,,4.8153,4.1139,1.1892
5102,1.5695,1.6334,1.3253,1.5476,1.4589,,1.5809,1.5193,0.1012
5105,3.5461,3.1517,2.275,3.764,3.8921,3.7441,3.8299,3.4576,0.535
5108,4.1814,3.5296,2.6254,,4.7517,4.1508,4.0984,3.8896,0.6668
5109,2.1092,1.8377,1.4458,2.1926,2.1876,2.3104,2.2883,2.0531,0.2872
5114,2.4622,2.3545,1.9453,3.0811,3.4097,,2.6139,2.6445,0.4801
5118,6.6708,5.3645,3.358,8.1757,7.7314,6.6912,7.2051,6.4567,1.5135
5119,1.0626,0.9335,0.8645,0.9799,1.0697,0.9985,1.0036,0.9875,0.0664
5120,1.8966,1.812,1.282,1.6826,1.6378,1.5637,1.7328,1.6582,0.1842
5121,3.9538,3.2576,2.3371,3.9647,4.0574,4.0087,4.2862,3.6951,0.6273
5122,3.1223,2.8049,2.0417,2.96,3.0453,3.0971,2.8808,2.8503,0.3468
5125,11.2905,10.1224,9.3722,12.9293,11.8337,12.1727,11.5926,11.3305,1.1265
5126,13.5064,12.7904,12.1406,14.7254,14.6422,13.8553,13.8709,13.6473,0.8676
5245,9.4238,2.9464,1.6797,7.0536,9.1297,7.5375,6.4593,6.3186,2.7381
9847,5.7505,5.3076,4.803,6.4915,6.4036,6.2238,6.3253,5.9007,0.5935
10025,2.49,2.2057,1.6108,3.1448,2.7971,2.6709,2.974,2.5562,0.4801
