,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,84.22,84.61,70.01,84.77,84.76,88.72,90.88,84.0,6.18
3572,18.97,14.16,7.48,16.61,22.01,21.55,21.99,17.54,4.95
3576,22.73,13.68,6.77,32.96,31.33,,21.47,21.49,9.2
3628,14.97,15.81,10.0,21.6,25.86,19.9,22.53,18.67,4.98
3684,8.83,4.98,88.37,67.25,7.03,7.39,9.96,27.69,32.23
3685,9.94,8.28,6.88,9.39,9.29,11.91,10.04,9.39,1.44
3686,29.91,20.37,9.65,32.46,32.47,31.3,28.7,26.41,7.86
5044,2.7,6.32,1.63,2.02,5.12,8.09,2.5,4.05,2.29
5045,4.42,3.52,2.71,4.79,8.39,8.93,5.81,5.51,2.19
5046,11.32,11.29,10.33,16.84,24.61,15.56,19.64,15.66,4.83
5047,7.25,5.42,2.9,9.2,13.0,10.85,8.72,8.19,3.12
5048,5.92,3.7,1.97,5.79,8.11,5.81,5.15,5.21,1.79
5049,4.11,3.15,1.9,6.7,15.0,5.87,6.32,6.15,3.96
5050,2.54,2.1,1.95,2.76,5.29,2.96,2.91,2.93,1.03
5051,255.18,153.12,70.31,269.84,40.68,10.03,13.61,116.11,102.74
5052,9.1,7.28,4.78,10.02,12.06,9.34,12.91,9.36,2.56
5054,4.08,2.89,2.08,4.19,8.59,7.41,6.43,5.1,2.24
5055,20.22,13.79,8.41,19.92,21.36,23.79,19.81,18.19,4.87
5061,13.58,10.82,6.87,14.46,16.05,14.22,15.86,13.12,3.01
5099,238.26,260.45,190.04,336.4,484.03,73.0,302.16,269.19,118.05
5100,545.67,341.62,436.09,456.83,429.65,151.5,30.28,341.66,170.99
5101,36.38,37.33,4.83,133.42,23.02,227.98,36.28,71.32,74.41
5102,3.53,5.75,2.83,3.43,5.24,326.11,26.65,53.36,111.62
5105,11.41,8.21,4.27,11.41,11.8,11.36,11.22,9.95,2.58
5108,33.93,30.89,20.29,254.36,49.97,36.84,37.14,66.2,77.25
5109,5.41,4.31,3.06,6.29,6.3,7.36,6.52,5.61,1.37
5114,6.64,6.2,4.38,10.23,19.36,84.75,8.05,19.95,26.84
5118,53.5,40.25,16.14,72.31,67.64,52.42,69.56,53.12,18.45
5119,1.49,1.33,1.21,1.37,2.01,1.34,1.39,1.45,0.24
5120,11.5,9.84,5.28,7.51,6.35,5.67,6.51,7.52,2.14
5121,19.54,14.56,9.08,21.61,22.98,18.92,23.18,18.55,4.74
5122,14.12,12.07,7.36,11.97,13.39,13.41,11.43,11.96,2.08
5125,150.95,130.3,126.84,188.71,159.66,173.8,169.49,157.11,21.08
5126,161.36,151.58,157.71,165.74,177.82,172.05,173.55,165.69,8.71
5245,189.7,23.46,4.06,127.14,182.49,137.53,87.71,107.44,67.43
9847,49.99,39.83,36.61,59.73,62.53,59.19,58.47,52.33,9.66
10025,10.12,7.51,4.2,13.27,13.05,11.32,11.43,10.13,3.01
