;repeat;repeat_last;drift;gnn_config1;gnn_config2;gnn_config3;gnn_config4;gnn_config5;best_model
3481;7,2678;6,6207;8,3033;4,9552;4,9155;4,9352;4,8779;5,4475;gnn_config4
3572;3,4833;3,0254;3,7295;2,4505;2,5113;2,8137;2,7014;2,9623;gnn_config1
3576;5,4333;4,2412;5,2025;3,2879;3,4979;3,7755;3,6744;3,4566;gnn_config1
3628;4,2922;3,5727;4,7363;4,5392;3,6405;5,6659;5,5541;3,8645;repeat_last
3684;4,4557;3,6584;4,7257;6,7758;6,4039;6,8018;6,7998;7,7228;repeat_last
3685;4,5046;3,3688;4,219;2,2785;2,3426;2,389;2,7354;2,5417;gnn_config1
3686;5,928;4,8246;5,9365;3,7213;3,7351;3,5533;4,0466;3,7675;gnn_config3
5044;2,1623;1,7044;2,2614;1,1462;1,2548;1,1104;1,3475;1,9756;gnn_config3
5045;3,7972;2,6977;3,2228;1,9776;2,1665;2,0593;2,7028;2,0278;gnn_config1
5046;3,5849;3,0257;3,999;1,9418;1,9914;1,9712;2,0887;2,3786;gnn_config1
5047;3,773;2,8294;3,5164;2,6627;2,825;2,734;3,2038;2,8696;gnn_config1
5048;2,9412;2,2768;2,9649;1,7967;1,8314;1,8816;1,9464;2,0368;gnn_config1
5049;2,8383;2,2154;2,7329;1,3346;1,4911;1,156;1,8218;1,3851;gnn_config3
5050;2,7629;2,0058;2,3785;1,2365;1,5271;1,2067;1,6812;1,5321;gnn_config3
5051;6,7627;5,5453;7,0018;2,8223;2,8584;3,0092;2,8403;3,0927;gnn_config1
5052;4,0995;3,1227;3,954;1,9564;2,0765;2,0782;2,0055;2,2524;gnn_config1
5054;3,0156;2,2857;2,9487;1,6002;1,744;1,574;1,8149;1,9188;gnn_config3
5055;5,8416;4,5604;5,9111;3,1236;3,157;3,2697;3,4089;3,3974;gnn_config1
5061;3,7945;3,2267;4,0119;2,6373;2,8238;2,5665;3,0899;2,8839;gnn_config3
5099;14,7083;13,107;16,1901;11,6103;12,4163;11,614;11,7899;11,3228;gnn_config5
5100;20,258;17,3249;21,9134;30,5814;29,0882;30,1983;31,3159;34,9141;repeat_last
5101;5,4356;4,1139;5,136;4,0609;3,6303;4,8658;4,1505;4,3864;gnn_config2
5102;1,6833;1,5193;1,9263;1,7939;1,9625;2,7289;2,4388;1,8577;repeat_last
5105;4,6318;3,4576;4,302;2,5295;2,5242;2,6758;2,882;3,1694;gnn_config2
5108;4,7193;3,8896;4,9282;3,275;2,7931;2,8367;2,7788;3,7639;gnn_config4
5109;2,3246;2,0531;2,6413;1,7274;1,9566;2,1476;2,3839;2,1555;gnn_config1
5114;3,2383;2,6445;3,3588;1,9688;2,0367;2,8406;2,1892;1,9178;gnn_config5
5118;7,9582;6,4567;7,9775;8,0897;6,1148;8,4088;8,799;15,0481;gnn_config2
5119;1,0668;0,9875;1,2949;1,2145;1,455;2,0556;1,8456;1,1482;repeat_last
5120;1,8025;1,6582;2,1111;2,1195;2,2407;2,4623;2,4708;2,5935;repeat_last
5121;4,5925;3,6951;4,583;2,7993;2,9646;2,7198;3,2978;3,0787;gnn_config3
5122;3,4238;2,8503;3,5842;3,252;3,3293;3,243;3,5108;3,5514;repeat_last
5125;13,7252;11,3305;13,9335;8,9983;9,1617;11,7455;10,6887;8,6005;gnn_config5
5126;18,3323;13,6473;15,8717;10,924;10,9683;12,1455;12,6147;10,3827;gnn_config5
5245;7,3024;6,3186;8,0921;4,2969;3,2381;3,6153;2,4716;4,8088;gnn_config4
9847;6,8078;5,9007;7,3151;4,6759;4,4374;4,4092;4,7223;5,0273;gnn_config3
10025;2,9532;2,5562;3,21;2,2946;2,3114;2,109;2,6599;2,6462;gnn_config3
