,repeat,repeat_last,drift,gnn_config1,gnn_config2,gnn_config3,gnn_config4,gnn_config5,best_model
3481,116.0,103.4,176.37,47.244,48.7004,46.0477,48.8463,50.6246,gnn_config3
3572,29.05,24.97,41.94,10.4463,11.4009,12.0557,12.6291,13.626,gnn_config1
3576,60.53,41.82,72.42,17.1992,18.5229,21.9271,21.063,18.2025,gnn_config1
3628,39.88,30.2,57.95,39.5204,32.7263,62.609,66.2759,36.4286,repeat_last
3684,78.6,58.31,103.69,128.7972,120.8637,127.8502,137.5379,148.4733,repeat_last
3685,34.66,21.18,35.21,8.8793,9.5284,9.33,11.9814,10.2152,gnn_config1
3686,62.86,46.0,78.28,22.0493,22.8963,20.6813,24.5224,21.8164,gnn_config3
5044,11.03,7.8,13.6,2.1637,2.4732,1.9473,2.9415,5.5115,gnn_config3
5045,25.86,15.4,24.01,6.0782,7.1359,6.3323,10.1149,5.9242,gnn_config5
5046,28.72,23.07,41.27,9.5786,10.0386,9.3817,10.1516,10.5033,gnn_config3
5047,27.14,17.85,30.07,13.3499,14.6836,13.4101,17.324,13.6835,gnn_config1
5048,16.69,10.91,19.85,6.4885,6.7656,6.1074,7.4686,6.9141,gnn_config3
5049,17.67,13.12,21.72,2.6241,3.2496,2.2444,4.7234,2.9795,gnn_config3
5050,13.02,7.7,11.44,2.7006,3.4509,2.6521,4.4003,4.1676,gnn_config3
5051,180.94,156.02,266.0,36.6796,38.2689,36.9219,38.5187,36.8165,gnn_config1
5052,30.96,20.12,35.22,6.1408,7.1949,6.0147,6.6803,7.2538,gnn_config3
5054,18.74,12.27,21.53,4.1489,4.9302,4.0624,5.332,5.3467,gnn_config3
5055,65.21,43.0,80.73,16.2185,16.971,18.1261,20.1472,17.892,gnn_config1
5061,26.22,20.54,35.02,11.3632,12.6574,11.2431,14.5144,12.2271,gnn_config3
5099,591.42,497.1,811.23,331.7664,350.3836,351.6996,368.1555,345.7025,gnn_config1
5100,745.96,567.57,931.87,1260.8137,1140.3319,1172.2612,1306.0948,1568.826,repeat_last
5101,61.14,41.06,70.49,31.3706,25.6454,42.8342,36.0935,36.6451,gnn_config2
5102,5.83,5.1,8.61,5.3893,6.2304,12.9969,9.9045,5.9317,repeat_last
5105,37.76,23.42,39.47,11.4577,11.8092,11.6791,14.5023,14.9905,gnn_config1
5108,54.77,44.31,78.01,19.2332,17.6611,21.1571,19.371,28.0761,gnn_config2
5109,9.78,8.04,14.38,5.8563,6.6298,6.9906,9.7427,7.6977,gnn_config1
5114,22.96,16.15,28.58,7.3984,7.6465,12.1532,7.8159,6.7272,gnn_config5
5118,126.78,93.78,161.47,108.6768,61.9611,90.7621,128.2626,342.1073,gnn_config2
5119,2.14,1.89,3.26,2.511,4.2006,6.4706,5.4082,2.1325,repeat_last
5120,9.92,9.51,16.52,17.1814,18.315,17.5174,19.9938,19.8792,repeat_last
5121,42.34,31.4,54.31,14.9973,16.9889,13.1646,19.468,16.1548,gnn_config3
5122,22.36,17.11,29.39,17.6319,18.8998,16.1415,21.22,19.7449,gnn_config3
5125,308.72,223.71,367.61,118.4274,122.4839,196.592,170.564,114.8201,gnn_config5
5126,531.57,320.25,474.35,176.0111,176.5427,224.3882,240.673,160.8709,gnn_config5
5245,208.27,175.59,316.78,29.8998,21.1538,23.6243,14.3323,37.4059,gnn_config4
9847,81.78,65.91,108.05,31.7519,30.0302,29.8807,34.2857,37.7862,gnn_config3
10025,18.78,15.79,26.88,9.9492,10.5957,9.9582,12.6839,11.4294,gnn_config1
