,repeat,repeat_last,drift,gnn_config1,gnn_config2,gnn_config3,gnn_config4,gnn_config5,best_model
3481,84.77,84.0,167.42,71.123,69.0305,76.2965,67.6489,75.6161,gnn_config4
3572,18.44,17.54,35.28,14.0516,14.0982,13.8036,16.4338,13.7779,gnn_config5
3576,23.49,21.49,42.78,33.6728,35.4986,33.6608,32.9945,36.2259,repeat_last
3628,20.06,18.67,37.36,28.857,22.9712,23.5783,24.162,27.0965,repeat_last
3684,32.56,27.69,47.79,65.2675,52.6107,55.793,54.3107,58.9583,repeat_last
3685,9.91,9.39,20.22,14.2993,12.9228,12.1774,12.0233,16.3126,repeat_last
3686,27.94,26.41,55.02,25.6466,25.6923,26.1503,28.1541,29.8337,gnn_config1
5044,4.5,4.05,8.14,3.2959,2.9663,3.0358,2.6654,3.6843,gnn_config4
5045,6.16,5.51,10.86,8.5293,8.0482,7.9808,8.3831,10.52,repeat_last
5046,16.72,15.66,31.87,15.1865,13.3288,13.6907,14.0766,14.1432,gnn_config2
5047,8.91,8.19,16.73,11.5679,10.9674,10.7874,10.0271,11.96,repeat_last
5048,5.63,5.21,10.82,5.8337,5.0859,5.2257,4.7968,6.5039,gnn_config4
5049,6.92,6.15,11.85,6.0244,5.7294,5.7004,4.8727,5.85,gnn_config4
5050,3.14,2.93,6.06,4.5632,4.1733,4.4339,4.371,5.1475,repeat_last
5051,131.23,116.11,220.14,78.1819,82.875,80.2347,87.5693,96.6127,gnn_config1
5052,10.25,9.36,19.23,11.5686,10.6264,10.6617,9.4718,13.1393,repeat_last
5054,5.59,5.1,10.09,5.3257,4.8414,4.9396,4.7835,6.1786,gnn_config4
5055,19.64,18.19,36.57,27.4118,31.8195,29.3085,29.5213,33.397,repeat_last
5061,13.31,13.12,27.59,19.2825,16.5512,16.8987,17.2728,17.3898,repeat_last
5099,379.52,269.19,618.94,575.3666,590.1825,493.1156,442.7712,440.9555,repeat_last
5100,412.85,341.66,857.03,774.8055,732.1184,834.0251,887.8534,845.3831,repeat_last
5101,69.05,71.32,138.64,111.1853,122.9738,141.3984,116.4864,118.2902,repeat
5102,50.82,53.36,107.49,6.1889,4.323,4.0309,4.1691,4.1802,gnn_config3
5105,10.62,9.95,21.04,15.1508,14.0612,15.2695,14.2913,17.8931,repeat_last
5108,61.3,66.2,135.64,66.237,88.911,121.0395,86.6974,88.6959,repeat
5109,5.81,5.61,11.21,7.4414,6.8759,7.2432,6.7749,7.5255,repeat_last
5114,77.36,19.95,49.32,8.9913,7.7056,7.7961,8.6355,8.0361,gnn_config2
5118,55.83,53.12,108.62,53.4996,62.1623,70.7248,73.1737,63.2283,repeat_last
5119,1.49,1.45,2.73,4.8475,2.7782,2.9566,3.0986,2.8654,repeat_last
5120,7.61,7.52,15.11,6.7555,6.7718,7.7462,7.3487,6.8282,gnn_config1
5121,19.24,18.55,39.03,23.6975,24.7477,25.5331,22.0566,22.6264,repeat_last
5122,12.12,11.96,25.11,13.0034,11.6746,12.2411,11.8523,13.3087,gnn_config2
5125,162.59,157.11,319.3,202.4353,221.749,217.7358,232.46,233.5447,repeat_last
5126,176.28,165.69,341.37,246.2592,246.9135,252.4982,262.8817,263.1007,repeat_last
5245,126.99,107.44,187.08,51.1217,50.7003,51.9776,49.4456,53.06,gnn_config4
9847,57.67,52.33,101.46,31.0836,35.8746,33.8633,33.685,36.8803,gnn_config1
10025,10.8,10.13,20.65,8.0805,8.122,8.2981,8.441,8.5887,gnn_config1
