,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,83.47,85.56,70.14,85.02,86.88,90.43,91.92,84.77,6.59
3572,19.96,14.48,7.71,17.42,23.78,22.86,22.86,18.44,5.37
3576,24.91,14.31,7.31,36.59,35.13,,22.7,23.49,10.46
3628,16.09,16.97,10.11,23.34,29.09,21.35,23.47,20.06,5.73
3684,10.06,4.97,104.02,82.15,7.64,7.96,11.11,32.56,38.77
3685,10.45,9.04,6.81,10.17,10.02,12.18,10.69,9.91,1.54
3686,31.18,21.94,9.95,34.78,34.1,32.79,30.81,27.94,8.34
5044,2.85,7.58,1.67,2.09,5.85,8.75,2.68,4.5,2.65
5045,4.77,3.86,2.85,5.25,10.13,9.57,6.68,6.16,2.58
5046,11.63,12.04,10.91,18.62,26.38,16.15,21.27,16.72,5.34
5047,8.02,5.53,3.0,9.89,14.71,11.5,9.7,8.91,3.57
5048,6.4,3.95,2.06,6.28,8.81,6.35,5.54,5.63,1.97
5049,4.33,3.36,1.99,7.55,17.85,6.24,7.09,6.92,4.84
5050,2.76,2.19,2.05,2.93,5.62,3.26,3.15,3.14,1.1
5051,281.85,171.03,78.93,308.22,51.24,11.25,16.06,131.23,114.88
5052,9.78,7.56,4.99,10.51,13.75,10.29,14.89,10.25,3.14
5054,4.49,3.18,2.26,4.45,8.95,8.21,7.58,5.59,2.44
5055,22.3,14.41,8.79,21.66,23.27,25.47,21.62,19.64,5.44
5061,13.26,11.02,7.1,14.92,16.69,14.04,16.16,13.31,3.08
5099,275.03,299.4,203.5,391.64,534.24,619.12,333.69,379.52,137.28
5100,602.73,374.12,458.27,485.76,449.64,487.12,32.33,412.85,167.59
5101,34.71,38.34,4.86,126.42,26.1,212.29,40.64,69.05,68.35
5102,3.66,6.3,2.78,3.49,5.27,304.18,30.08,50.82,103.82
5105,11.58,8.81,4.59,12.28,12.37,12.44,12.27,10.62,2.73
5108,35.33,32.29,20.13,218.03,47.11,38.33,37.9,61.3,64.42
5109,5.72,4.33,3.12,6.59,6.52,7.8,6.6,5.81,1.47
5114,7.19,6.43,4.62,11.01,22.22,481.5,8.57,77.36,165.08
5118,55.76,41.76,16.35,75.42,73.07,54.82,73.64,55.83,19.84
5119,1.49,1.36,1.21,1.39,2.24,1.32,1.41,1.49,0.31
5120,11.81,9.57,5.29,7.57,6.69,5.7,6.66,7.61,2.15
5121,19.97,14.73,9.07,22.83,24.36,19.5,24.25,19.24,5.19
5122,14.74,12.2,7.35,11.87,13.55,13.58,11.59,12.12,2.21
5125,159.17,136.8,132.49,193.57,164.55,181.22,170.37,162.59,20.54
5126,175.71,160.41,161.77,178.63,193.43,183.31,180.7,176.28,10.9
5245,229.22,24.18,4.27,152.08,215.59,161.53,102.05,126.99,81.39
9847,55.35,42.74,39.29,67.06,69.75,64.59,64.91,57.67,11.34
10025,10.8,7.66,4.33,14.66,14.31,11.77,12.06,10.8,3.41
