,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,5.6792,5.7703,4.8305,5.5653,5.8186,5.9427,5.9678,5.6535,0.3604
3572,2.6099,2.0847,1.6132,2.4601,2.6866,2.6964,2.6299,2.3972,0.3759
3576,3.137,2.4721,1.8294,3.8438,3.7771,,3.0274,3.0145,0.7051
3628,2.4794,2.4227,1.818,2.938,3.1667,2.7966,2.9183,2.6485,0.4168
3684,1.7262,1.5082,4.5876,4.2194,1.7621,1.7965,1.8282,2.4898,1.2181
3685,2.3635,2.1861,1.939,2.3079,2.301,2.3664,2.4069,2.2673,0.1492
3686,3.8226,3.1469,2.1562,3.9834,3.9879,3.7507,3.6369,3.4978,0.608
5044,1.1601,1.275,0.9669,1.0688,1.3627,1.5868,1.1432,1.2234,0.1906
5045,1.5702,1.4835,1.2515,1.6549,1.8778,1.8102,1.716,1.6234,0.1963
5046,2.13,2.0294,1.7352,2.4784,3.039,2.4825,2.6778,2.3675,0.4041
5047,1.9186,1.6274,1.2458,2.0077,2.0851,1.9588,1.973,1.8309,0.2736
5048,1.6951,1.3287,1.077,1.5902,1.7981,1.6699,1.5351,1.5277,0.2293
5049,1.4362,1.2402,1.0515,1.5586,1.806,1.4938,1.5784,1.4521,0.2267
5050,1.256,1.1083,1.0834,1.2838,1.3943,1.3161,1.2821,1.2463,0.1036
5051,7.2544,5.2308,2.9145,7.2711,2.5602,1.9767,2.0011,4.1727,2.2019
5052,2.2118,1.9485,1.6401,2.2353,2.4065,2.2009,2.3496,2.1418,0.2448
5054,1.5068,1.2767,1.1184,1.5147,1.7101,1.6395,1.5325,1.4712,0.1907
5055,3.3301,2.6742,2.1394,3.2526,3.3466,3.3557,3.2286,3.0468,0.4315
5061,2.5246,2.2988,1.7611,2.664,2.7826,2.5086,2.7215,2.4659,0.324
5099,8.8933,9.4576,6.622,11.8892,14.0675,16.625,10.5652,11.16,3.113
5100,18.7591,13.3634,16.756,17.2698,16.1534,16.125,3.1557,14.5118,4.8735
5101,3.2763,3.0022,1.5856,6.929,2.9911,9.6034,3.4668,4.4078,2.604
5102,1.3498,1.4309,1.176,1.2956,1.4148,12.0289,2.1799,2.9823,3.7056
5105,2.2918,2.1324,1.5706,2.4184,2.4479,2.3553,2.4233,2.2343,0.2889
5108,3.1057,2.9523,2.2913,9.5258,3.6534,3.2658,3.2248,4.0027,2.287
5109,1.7104,1.5084,1.2896,1.7859,1.7902,1.8372,1.8008,1.6747,0.1872
5114,1.9278,1.7853,1.5855,2.2346,2.6259,19.0,2.0472,4.458,5.9447
5118,4.8948,3.9922,2.6483,5.6893,5.4304,4.8459,5.1271,4.6612,0.9602
5119,0.9099,0.8702,0.8097,0.865,0.9438,0.8503,0.8737,0.8747,0.0395
5120,1.6181,1.5306,1.157,1.4791,1.4051,1.3805,1.4979,1.4383,0.1361
5121,2.8787,2.3524,1.8286,2.9334,2.9803,2.7592,2.9826,2.6736,0.4007
5122,2.5397,2.2751,1.7604,2.305,2.3712,2.4858,2.263,2.2857,0.2357
5125,9.3558,8.6462,8.4045,10.3488,9.7345,10.0092,9.6852,9.4549,0.6552
5126,9.8998,9.6043,9.5009,10.0989,10.3283,10.2027,10.195,9.9757,0.2948
5245,7.5564,2.4758,1.4146,5.619,7.0203,5.9632,4.5481,4.9425,2.1158
9847,5.0837,4.6403,4.4712,5.6681,5.7692,5.4587,5.5646,5.2365,0.4768
10025,1.9837,1.7434,1.3246,2.3543,2.2438,2.0453,2.1294,1.9749,0.3211
