,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,7.2744,7.0814,5.9428,7.7347,7.7398,7.4643,7.6369,7.2678,0.5863
3572,3.66,3.0902,2.1259,3.8112,4.0258,3.8779,3.7924,3.4833,0.6189
3576,5.4382,4.3715,2.954,7.6703,6.6282,,5.5378,5.4333,1.512
3628,4.0234,3.8317,2.3728,4.9736,4.8136,4.7151,5.3153,4.2922,0.9204
3684,2.6678,2.3562,9.8435,7.5566,2.9228,2.8567,2.9864,4.4557,2.7597
3685,4.8437,4.2146,3.2922,4.7276,4.8643,4.8205,4.7694,4.5046,0.5369
3686,6.2647,5.1044,3.3171,6.9881,6.7705,6.6962,6.3551,5.928,1.208
5044,2.2727,2.3099,1.575,2.0347,2.3795,2.5836,1.9807,2.1623,0.3054
5045,3.7279,3.3209,2.5977,4.1556,4.2499,4.3125,4.2159,3.7972,0.591
5046,3.5103,2.9023,2.5922,3.7757,4.515,3.7788,4.0202,3.5849,0.6078
5047,4.0714,3.3021,2.4226,4.3098,4.1186,3.9995,4.1871,3.773,0.6285
5048,3.3058,2.4176,1.8429,3.1344,3.3065,3.4001,3.1811,2.9412,0.5415
5049,2.7024,2.4324,1.7861,3.0842,3.341,3.156,3.3657,2.8383,0.5322
5050,2.8294,2.5191,2.0446,3.0622,3.0424,2.9493,2.893,2.7629,0.3379
5051,11.1411,7.8988,4.2776,10.0978,4.7374,4.5498,4.6365,6.7627,2.7066
5052,4.3793,3.6664,2.641,4.3202,4.6155,4.4997,4.5742,4.0995,0.6648
5054,3.0781,2.6165,2.0775,3.1743,3.3804,3.3457,3.4366,3.0156,0.461
5055,6.1614,4.651,3.2304,6.5667,6.6816,7.0404,6.56,5.8416,1.283
5061,3.9043,3.3829,2.5505,4.0716,4.1447,3.9992,4.508,3.7945,0.5952
5099,12.4585,13.531,9.2758,15.863,20.023,,17.0988,14.7083,3.4461
5100,25.9896,20.1506,24.7765,23.8515,21.0456,,5.7342,20.258,6.8038
5101,5.6467,4.5343,2.8596,7.9126,5.5348,,6.1255,5.4356,1.5337
5102,1.7891,1.7342,1.4118,1.7838,1.5945,,1.7867,1.6833,0.1392
5105,4.7343,4.1588,3.0466,5.0749,5.1964,5.1131,5.0984,4.6318,0.7281
5108,5.1062,4.3156,3.133,,5.776,5.0265,4.9587,4.7193,0.8264
5109,2.3666,2.0557,1.6291,2.5568,2.4575,2.5561,2.6507,2.3246,0.3358
5114,3.0228,2.8384,2.3392,3.7966,4.3681,,3.0648,3.2383,0.6625
5118,8.2072,6.6034,4.0141,10.1778,9.5708,8.4349,8.6992,7.9582,1.9182
5119,1.1439,1.0178,0.9092,1.0809,1.1766,1.0678,1.0711,1.0668,0.0806
5120,2.059,1.9846,1.3903,1.9241,1.7003,1.6909,1.8686,1.8025,0.2108
5121,4.8991,4.0592,2.8151,4.9208,5.1032,5.0393,5.3112,4.5925,0.8126
5122,3.8316,3.2984,2.3777,3.5487,3.742,3.7173,3.4509,3.4238,0.4598
5125,13.8934,12.214,10.7937,15.9428,14.4231,14.8489,13.9603,13.7252,1.5869
5126,17.9848,16.9138,15.2407,20.6281,20.1447,18.7448,18.6693,18.3323,1.7126
5245,11.074,3.5255,1.9696,7.9973,10.6916,8.659,7.1995,7.3024,3.1792
9847,6.6017,6.0709,5.3402,7.5648,7.4898,7.3365,7.2504,6.8078,0.7795
10025,3.0179,2.5942,1.8092,3.6104,3.0777,3.0602,3.5028,2.9532,0.561
