,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,99.9,98.78,76.26,106.81,104.96,102.17,103.35,98.89,9.59
3572,24.12,18.36,9.13,23.97,33.9,28.6,30.26,24.05,7.66
3576,39.2,23.3,9.93,69.06,60.7,,36.61,39.8,20.28
3628,24.52,23.5,12.7,35.76,38.71,33.19,39.79,29.74,9.15
3684,13.22,7.11,191.53,132.46,11.94,11.89,16.0,54.88,69.6
3685,23.61,16.82,11.22,21.48,22.42,25.81,22.21,20.51,4.55
3686,48.44,32.27,15.36,56.68,52.6,53.78,46.27,43.63,13.69
5044,5.51,12.01,2.72,4.29,10.28,12.53,5.07,7.49,3.71
5045,12.65,8.59,5.87,14.07,26.31,20.37,16.46,14.9,6.43
5046,17.11,14.26,15.48,26.54,33.03,22.79,29.14,22.62,6.74
5047,16.5,11.25,5.38,21.24,29.5,23.16,20.11,18.16,7.37
5048,12.16,7.09,3.45,14.07,15.32,13.31,11.54,10.99,3.92
5049,8.49,6.61,3.29,15.03,32.41,12.72,15.14,13.38,8.78
5050,6.94,5.04,3.78,8.12,11.02,7.82,7.91,7.23,2.16
5051,328.69,193.26,83.25,322.64,45.2,22.98,42.22,148.32,123.5
5052,18.75,13.19,7.89,20.8,28.6,19.97,26.87,19.44,6.7
5054,9.77,6.66,4.0,10.96,18.27,14.92,20.62,12.17,5.61
5055,54.3,26.64,13.02,52.47,60.56,59.95,49.34,45.18,16.85
5061,20.64,15.28,9.45,22.16,23.06,22.12,26.85,19.94,5.34
5099,398.5,448.93,276.45,542.76,777.55,,548.53,498.79,154.97
5100,843.9,553.04,662.32,687.07,583.98,,54.34,564.11,246.11
5101,36.82,20.31,8.56,96.12,49.34,,57.58,44.79,28.27
5102,4.45,8.23,3.28,4.62,4.43,253.25,7.05,40.76,86.76
5105,25.13,18.49,9.0,26.76,28.54,25.84,26.0,22.82,6.36
5108,45.53,38.33,22.28,,54.4,50.28,50.22,43.5,10.73
5109,7.92,6.04,3.74,8.95,8.86,10.31,10.07,7.98,2.18
5114,10.94,10.27,6.68,17.1,33.81,,12.17,15.16,8.89
5118,86.72,60.4,21.38,134.97,128.73,91.66,113.75,91.09,37.18
5119,1.83,1.61,1.34,1.58,2.69,1.68,1.71,1.78,0.4
5120,14.13,11.78,5.78,8.73,9.36,6.68,8.02,9.21,2.69
5121,32.52,23.91,11.95,32.98,41.49,31.83,37.51,30.31,9.02
5122,19.46,16.5,9.32,16.88,18.96,18.87,17.01,16.71,3.21
5125,208.52,169.31,149.22,273.71,226.2,235.81,227.06,212.83,38.87
5126,281.2,248.18,231.05,327.84,357.18,304.93,301.63,293.14,40.6
5245,328.98,28.67,5.65,200.68,347.71,208.24,175.88,185.12,122.29
9847,63.6,51.61,42.73,75.77,76.9,74.87,72.6,65.44,12.47
10025,14.32,10.67,5.83,19.77,17.79,15.47,17.06,14.41,4.41
