,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,87.01,92.45,71.27,88.8,91.22,94.18,94.16,88.44,7.43
3572,21.02,15.92,8.04,19.36,27.43,23.25,25.26,20.04,6.03
3576,28.46,16.92,8.07,42.77,45.26,,25.7,27.86,13.18
3628,19.18,18.22,11.05,27.54,36.94,25.56,29.42,23.99,7.89
3684,10.67,5.81,140.52,96.33,9.53,9.02,13.48,40.77,50.56
3685,13.92,10.45,7.91,12.77,13.53,15.98,13.11,12.52,2.42
3686,35.57,24.89,10.86,39.5,40.11,38.19,31.48,31.51,9.78
5044,3.57,8.26,1.94,2.7,7.28,10.08,3.37,5.31,2.94
5045,6.87,4.85,3.77,7.18,16.31,12.87,8.75,8.66,4.14
5046,13.61,12.06,11.77,21.57,29.99,19.15,24.48,18.95,6.4
5047,10.12,7.34,3.7,13.12,20.67,14.91,13.1,11.85,5.07
5048,7.92,4.59,2.56,8.44,11.9,9.33,7.72,7.49,2.84
5049,5.51,4.19,2.36,10.09,25.5,8.32,9.26,9.32,7.1
5050,3.86,2.8,2.49,4.24,7.18,4.5,4.32,4.2,1.42
5051,291.18,169.66,78.39,325.26,52.03,15.36,25.46,136.76,118.42
5052,12.68,9.02,5.94,13.2,19.72,13.07,18.09,13.1,4.42
5054,5.85,4.04,2.82,6.26,11.88,10.22,13.36,7.77,3.75
5055,31.12,18.24,10.18,31.27,33.26,35.32,28.34,26.82,8.49
5061,15.36,12.02,7.88,16.88,17.9,16.59,19.63,15.18,3.69
5099,341.85,394.24,236.77,470.28,633.38,,443.53,420.01,121.76
5100,692.94,450.82,538.62,540.29,499.93,,42.03,460.77,201.36
5101,26.17,15.77,6.03,87.26,34.38,179.25,40.26,55.59,55.92
5102,4.01,6.11,3.03,3.77,3.88,379.41,8.73,58.42,131.06
5105,15.66,11.51,5.78,16.62,17.06,16.43,15.26,14.05,3.79
5108,39.67,32.66,19.57,361.65,43.8,42.28,39.49,82.73,114.12
5109,6.42,5.14,3.21,7.65,6.96,8.27,7.5,6.45,1.62
5114,8.77,7.56,5.16,12.59,21.98,,9.67,10.95,5.41
5118,65.51,46.8,17.92,91.14,86.78,65.6,86.07,65.69,24.34
5119,1.59,1.42,1.27,1.41,2.43,1.45,1.5,1.58,0.36
5120,12.49,10.63,5.38,7.96,8.32,5.74,7.16,8.24,2.38
5121,22.89,17.16,9.94,25.26,29.21,22.68,28.0,22.16,6.19
5122,15.77,13.71,7.87,13.79,14.92,14.72,12.83,13.37,2.41
5125,174.11,144.7,132.29,218.71,186.55,181.21,181.23,174.12,26.35
5126,193.71,177.5,178.35,212.06,237.57,206.62,205.66,201.64,19.38
5245,278.04,25.38,4.92,167.51,253.41,183.66,122.09,147.86,96.99
9847,56.59,44.61,38.38,67.37,67.48,64.53,63.4,57.48,10.78
10025,11.7,8.57,5.04,15.48,15.91,13.1,13.97,11.97,3.64
