,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,6.5417,6.5499,5.3204,6.6577,6.6293,6.7035,6.5323,6.4193,0.4526
3572,3.0785,2.5323,1.828,3.1501,3.358,3.2495,3.1998,2.9137,0.507
3576,4.2176,3.3159,2.2627,5.6454,5.1978,,4.1407,4.13,1.125
3628,3.3942,3.0999,2.1488,3.9209,4.0523,3.8312,4.1981,3.5208,0.6626
3684,2.242,1.8857,6.9378,6.0739,2.3597,2.4514,2.4375,3.484,1.9331
3685,3.6641,3.1002,2.5831,3.4776,3.5065,3.608,3.5488,3.3555,0.3577
3686,5.1951,4.0563,2.7024,5.4962,5.2958,5.2061,4.8686,4.6887,0.9198
5044,1.7041,1.7654,1.2355,1.5654,1.9392,2.1354,1.6375,1.7118,0.264
5045,2.6552,2.2536,1.8573,2.7948,3.141,3.0314,2.917,2.6643,0.4248
5046,2.8396,2.3939,2.1064,3.3422,3.8036,3.223,3.4636,3.0246,0.5625
5047,2.9818,2.3963,1.7703,3.2227,3.2139,3.1488,3.0922,2.8323,0.5079
5048,2.5242,1.8801,1.432,2.6125,2.6313,2.5929,2.4242,2.2996,0.4291
5049,2.1325,1.8425,1.3907,2.4524,2.7853,2.3494,2.5076,2.2086,0.4326
5050,2.026,1.7504,1.5459,2.1881,2.2268,2.1358,2.1089,1.9974,0.2349
5051,9.0758,6.323,3.4677,8.4421,3.6472,3.2799,3.4635,5.3856,2.3503
5052,3.224,2.6731,2.1253,3.3679,3.5173,3.2787,3.4711,3.0939,0.4725
5054,2.3248,1.9058,1.5439,2.523,2.7707,2.5896,2.5579,2.3165,0.4049
5055,5.1864,3.7336,2.711,5.1905,5.441,5.2938,5.0774,4.6619,0.9563
5061,3.3109,2.7893,2.1522,3.3949,3.4314,3.3029,3.6767,3.1512,0.4768
5099,11.0449,12.035,7.992,14.3645,18.3099,,14.2646,13.0018,3.2013
5100,22.7631,16.6346,20.3517,20.7714,18.7287,,4.6012,17.3085,5.9854
5101,4.0718,3.2545,2.1535,7.1432,4.306,,4.7922,4.2869,1.5318
5102,1.5172,1.6092,1.3002,1.5025,1.5153,11.5,1.6422,2.941,3.4957
5105,3.5799,3.209,2.2657,3.7632,3.888,3.682,3.7577,3.4494,0.5232
5108,4.0288,3.5266,2.6462,,4.6249,4.1547,4.1267,3.8513,0.6266
5109,2.0937,1.8049,1.4192,2.1761,2.1926,2.2333,2.303,2.0318,0.2907
5114,2.4535,2.3565,1.9329,2.9988,3.3998,,2.4999,2.6069,0.4716
5118,6.5387,5.2308,3.2027,8.0873,7.6594,6.6804,6.9977,6.3424,1.5332
5119,1.0159,0.9492,0.8543,0.9394,1.0359,0.984,0.9479,0.9609,0.0552
5120,1.8416,1.7588,1.2614,1.6678,1.5702,1.5243,1.6927,1.6167,0.1757
5121,3.9521,3.2505,2.2686,3.9347,4.0528,3.9277,4.1114,3.6426,0.6201
5122,3.0839,2.7964,2.0226,2.8869,2.9298,3.065,2.8846,2.8099,0.3351
5125,11.0731,9.9264,9.2439,12.6783,11.6986,11.8026,11.4369,11.1228,1.0873
5126,13.0929,12.3837,11.9263,14.1582,14.4157,13.2838,13.3014,13.2232,0.8203
5245,9.7666,2.9337,1.677,7.0185,9.6797,7.58,6.259,6.4164,2.8836
9847,5.7545,5.2948,4.749,6.3051,6.3433,6.1556,6.1453,5.8211,0.5548
10025,2.442,2.1475,1.5812,2.9377,2.6644,2.5175,2.7073,2.4282,0.4136
