,Jun_x,Jul_x,Aug_x,Sep_x,Oct_x,Nov_x,Dec_x,avg_x,std_x,Jun_y,Jul_y,Aug_y,Sep_y,Oct_y,Nov_y,Dec_y,avg_y,std_y
3481,5.0379,4.6807,3.8988,5.237,5.5039,5.1984,5.3542,4.9873,0.5056,65.06,58.41,41.33,71.91,76.98,68.24,73.57,65.07,11.21
3572,2.8424,2.2782,1.738,2.8521,3.0847,2.9452,2.9799,2.6744,0.4518,21.3,13.04,6.26,18.57,26.31,22.31,23.6,18.77,6.42
3576,4.2519,3.3369,2.4722,5.5614,6.6042,44.5,4.2923,10.1455,14.0815,37.94,21.15,10.03,68.03,134.12,2606.12,36.13,416.22,894.84
3628,2.9683,2.6085,1.847,3.417,3.6968,3.5483,3.5458,3.0902,0.6193,19.39,17.09,7.59,30.34,34.98,29.04,30.42,24.12,8.99
3684,2.3024,1.9274,5.0646,4.7083,2.5483,2.4913,2.5683,3.0872,1.1597,11.24,6.58,135.85,89.24,11.85,11.42,17.01,40.45,47.35
3685,4.6742,3.8224,2.9223,4.4963,4.5347,4.5138,4.5515,4.2165,0.588,30.29,20.42,12.6,26.99,28.12,29.11,28.96,25.21,5.96
3686,5.6747,4.2475,2.5228,5.8163,6.3459,5.7614,5.4452,5.1163,1.2141,59.45,35.03,12.2,65.26,75.64,64.72,59.21,53.07,20.24
5044,2.1131,1.8317,1.3702,1.9734,2.0784,2.2734,1.9372,1.9396,0.2667,6.49,8.82,3.16,5.38,8.43,9.99,5.65,6.85,2.19
5045,3.5861,3.2983,3.4016,3.8994,4.1616,4.0863,4.036,3.7813,0.3234,19.06,16.45,17.16,21.32,29.37,25.3,23.69,21.76,4.33
5046,2.8835,2.5934,3.0352,3.045,3.7288,3.0132,3.1317,3.0616,0.3172,14.2,12.05,14.36,18.28,33.31,16.09,19.24,18.22,6.57
5047,3.9443,2.9952,2.0763,3.9222,4.0354,3.8143,3.7924,3.5114,0.6684,23.48,13.93,6.77,24.38,30.57,24.21,23.95,21.04,7.37
5048,2.9535,2.2512,1.9189,2.8133,2.9961,3.0398,2.7822,2.6793,0.3956,13.34,7.92,5.85,12.58,15.22,14.25,12.17,11.62,3.18
5049,2.8106,2.2815,1.6201,2.9427,3.2354,2.9785,3.0388,2.7011,0.5198,11.41,8.03,4.14,14.76,26.13,14.33,15.71,13.5,6.42
5050,2.8426,2.409,1.969,2.9608,3.1353,2.9772,2.9432,2.7482,0.3811,10.57,8.03,6.08,11.61,14.41,11.86,11.7,10.61,2.55
5051,7.5908,5.1815,3.4921,7.0907,4.9705,4.0089,3.9049,5.1771,1.481,225.81,114.04,47.88,224.15,79.38,25.73,32.65,107.09,79.54
5052,4.0229,3.2076,2.2116,3.8959,4.2431,4.0724,4.2685,3.7031,0.6925,24.19,18.57,7.51,23.41,30.91,25.3,37.06,23.85,8.63
5054,3.1477,2.3913,1.8484,3.0622,3.3068,3.2616,3.1432,2.8802,0.5078,13.43,8.14,5.57,12.9,18.76,16.18,18.51,13.36,4.66
5055,5.8274,4.1971,2.8331,5.7256,6.0392,5.9138,5.7147,5.1787,1.1183,57.49,27.39,11.09,55.01,65.2,62.27,56.18,47.81,18.87
5061,3.411,2.7042,1.8873,3.4633,3.5849,3.4063,3.5889,3.1494,0.5864,21.51,13.98,6.67,22.05,24.16,21.39,25.95,19.39,6.24
5099,9.0658,10.0524,5.9379,12.1974,16.8658,58.9821,18.2718,18.7676,16.8985,347.03,387.91,182.4,504.01,834.92,4190.05,1004.7,1064.43,1303.3
5100,43.9554,25.4481,35.6088,45.858,34.5696,61.0,12.7569,37.0281,14.3021,2659.02,1291.47,1820.87,2687.49,1846.89,4334.15,730.96,2195.84,1085.93
5101,20.1597,17.9827,2.263,34.6798,8.5724,40.6648,21.6722,20.8564,12.4756,786.32,694.12,8.17,1453.27,324.21,1807.65,884.47,851.17,572.67
5102,1.2483,1.19,0.9058,1.184,6.2193,42.3516,22.1347,10.7477,14.7304,3.45,4.89,1.91,3.4,324.83,1975.8,1012.13,475.2,702.35
5105,4.396,3.7994,2.8502,4.5547,4.7148,4.7123,4.5575,4.2264,0.6321,29.92,21.06,13.9,30.54,33.05,32.41,31.29,27.45,6.66
5108,3.7061,3.2027,4.1905,38.5135,10.0,3.7582,3.6926,9.5805,12.0125,33.54,25.83,82.64,1691.69,537.35,35.66,34.3,348.72,574.51
5109,1.9598,1.6251,1.2388,2.0106,2.0111,2.0592,3.0335,1.9912,0.5061,7.15,4.81,2.51,7.35,7.48,8.19,87.42,17.85,28.46
5114,2.5328,2.2815,1.9843,2.9175,4.8575,66.0541,3.4196,12.0068,22.0822,9.7,8.39,5.82,14.1,151.5,5214.59,84.9,784.14,1809.43
5118,17.111,16.9069,17.4043,12.656,12.4116,11.6337,11.2614,14.1978,2.5877,347.18,321.35,319.04,207.54,198.22,171.8,163.45,246.94,73.02
5119,0.8367,0.6769,0.5993,0.723,0.7575,0.7097,0.6921,0.7136,0.0677,1.36,0.93,0.72,1.08,1.43,1.02,0.99,1.08,0.23
5120,1.4163,1.3776,1.1297,1.414,1.2861,1.3082,1.3787,1.3301,0.0938,7.14,6.33,3.39,5.61,5.11,4.03,4.91,5.22,1.19
5121,4.0415,3.1824,2.5222,4.0543,4.1107,4.0695,4.2039,3.7406,0.591,30.13,19.2,10.57,30.14,34.44,29.11,32.99,26.65,7.98
5122,3.0,2.6035,2.1336,2.7568,2.8677,2.8944,2.816,2.7246,0.2668,16.14,12.78,7.23,13.2,15.41,15.17,13.82,13.39,2.76
5125,11.3281,10.1604,8.8436,13.0511,12.687,12.337,12.2309,11.5197,1.4106,192.5,147.12,113.11,262.25,268.99,242.3,242.05,209.76,55.97
5126,15.6027,14.0556,12.3776,18.871,18.9868,17.5049,17.1713,16.3671,2.2965,331.01,277.48,218.17,474.58,516.9,417.27,406.57,377.43,99.17
5245,7.8762,2.8735,2.4905,5.2675,6.8484,5.8223,5.1153,5.1848,1.8139,264.88,19.52,8.75,123.52,204.21,133.62,108.82,123.33,85.19
9847,5.1295,4.6689,4.3368,5.7912,5.6619,5.7427,5.5884,5.2742,0.5348,42.15,34.58,29.32,52.23,51.33,51.92,49.28,44.4,8.61
10025,2.285,1.9134,1.3996,2.5089,2.437,2.2239,2.4273,2.1707,0.3641,11.76,8.03,3.97,15.14,15.24,11.6,13.99,11.39,3.82
