;repeat;repeat_last;drift;gnn_config1;gnn_config2;gnn_config3;gnn_config4;gnn_config5;best_model
3481;5,8764;5,7856;7,6488;6,8549;6,1181;5,8628;5,8658;5,787;repeat_last
3572;2,536;2,4501;3,3173;2,9364;2,5453;2,4236;2,4129;2,667;gnn_config4
3576;3,3061;3,0806;4,1221;3,6328;3,3335;3,2021;3,2372;3,066;gnn_config5
3628;2,9813;2,7618;3,7062;4,4032;3,3893;3,3532;3,5618;3,7395;repeat_last
3684;2,8527;2,5786;3,4674;4,5808;4,0009;3,6302;3,6598;4,0343;repeat_last
3685;2,5729;2,3558;3,1442;2,7822;2,548;2,5641;2,8161;2,494;repeat_last
3686;3,8113;3,5947;4,8193;3,9449;3,564;3,5243;3,5735;3,5182;gnn_config5
5044;1,3665;1,2669;1,7425;1,6425;1,1306;1,098;1,2128;1,2283;gnn_config3
5045;1,9359;1,7017;2,2061;2,235;2,0941;2,067;2,3343;1,859;repeat_last
5046;2,6112;2,4397;3,3622;2,797;2,2861;2,2234;2,2746;2,3634;gnn_config3
5047;2,1678;1,9351;2,5809;2,6395;2,3865;2,2282;2,3133;2,2099;repeat_last
5048;1,7993;1,6092;2,1563;1,9356;1,5931;1,6311;1,6581;1,6532;gnn_config2
5049;1,6861;1,5251;2,0458;1,9395;1,6553;1,5597;1,5872;1,5751;repeat_last
5050;1,4712;1,316;1,7326;1,8955;1,5131;1,4564;1,6042;1,3916;repeat_last
5051;4,5719;4,2001;5,5967;4,4428;3,7328;3,6168;3,8828;3,5698;gnn_config5
5052;2,4394;2,2223;2,9908;2,5875;2,3383;2,287;2,4273;2,338;repeat_last
5054;1,7474;1,5505;2,0596;1,8606;1,4693;1,4525;1,487;1,4272;gnn_config5
5055;3,5791;3,2137;4,1564;4,0999;3,926;3,8549;4,0842;3,6503;repeat_last
5061;2,6689;2,5557;3,4316;3,0629;2,6185;2,5416;2,6097;2,5156;gnn_config5
5099;11,6371;10,5409;13,4866;9,0064;8,6273;8,8025;8,0339;8,4212;gnn_config4
5100;15,4073;14,4708;19,2931;20,5868;21,1542;20,6666;20,9392;22,4807;repeat_last
5101;4,0538;3,5394;5,0436;4,1879;3,5468;3,5256;3,6196;3,7342;gnn_config3
5102;3,4431;3,1843;4,2082;2,2996;1,587;1,7615;1,4518;1,6819;gnn_config4
5105;2,6102;2,3518;3,1276;2,8401;2,669;2,5382;2,7943;2,5526;repeat_last
5108;4,5238;3,7536;6,0362;4,4966;4,0172;4,2259;4,0648;3,7236;gnn_config5
5109;1,783;1,719;2,2898;2,143;1,7025;1,6837;1,7931;1,8455;gnn_config3
5114;2,1973;2,0734;2,7802;2,4126;1,8779;1,7954;1,7034;1,9472;gnn_config4
5118;5,1677;4,8489;6,4287;8,191;5,7946;5,0626;5,6444;10,9211;repeat_last
5119;0,8941;0,8936;1,1912;1,9282;1,2278;1,3913;1,0619;1,2924;repeat_last
5120;1,4939;1,4754;1,9862;2,0097;1,8411;1,7133;1,7288;2,202;repeat_last
5121;2,9468;2,766;3,7023;3,3545;2,9386;2,9006;2,9764;2,8971;repeat_last
5122;2,4335;2,3446;3,1638;2,8482;2,3482;2,397;2,5715;2,5257;repeat_last
5125;9,8351;9,5098;12,7478;11,264;10,4685;9,9606;10,3791;10,5978;repeat_last
5126;10,7857;10,1204;13,3862;10,5222;10,7271;10,6713;12,0038;10,5507;repeat_last
5245;5,4632;5,018;6,6333;4,2315;4,0034;3,4684;3,72;4,0293;gnn_config3
9847;5,3427;5,1925;6,9355;4,4582;3,9929;4,0784;4,1911;4,1487;gnn_config2
10025;2,1212;2,0265;2,7848;2,3057;2,0378;1,9751;1,9058;2,0746;gnn_config4
